League,Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
E0,Odds,reference,odds,553,0.5171790235081374,0.9968868806269671,0.5963361214062343,0.620253164556962,0.24058659775854319,0.24954792043399637,0.18747553152436483,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E0,base/league_none,base,league_none,553,0.5063291139240507,1.0341685533356184,0.6211508690710849,0.49005424954792043,0.2669069543539596,0.24954792043399637,0.18881974586977499,0.03728167270865135,0.016816582776346907,0.0585653844292567,0.02481474766485059,0.009895576904533479,0.04003692090414101,0.0,0.0,0.0,0.0,0.0,0.0,0.0002632654531982137,-0.0008367799858321423,0.001298584593324081,0.00019568820333704107,-0.0005655812323543619,0.0009301365750396166
E0,base/league_ordinal,base,league_ordinal,553,0.5081374321880651,1.0339052878824202,0.6209551808677478,0.49005424954792043,0.2674369260082671,0.24954792043399637,0.18887685299146398,0.037018407255453134,0.016539010195379327,0.058346364868039166,0.02461905946151355,0.009784900687510659,0.03990524935191116,-0.0002632654531982137,-0.0012985845933240815,0.0008367799858321423,-0.00019568820333704107,-0.0009301365750396168,0.0005655812323543619,0.0,0.0,0.0,0.0,0.0,0.0
E0,base/league_onehot,base,league_onehot,553,0.5009041591320073,1.032668881231911,0.620129644079796,0.5027124773960217,0.26796800540239146,0.24954792043399637,0.18925722367787937,0.03578200060494385,0.015339010732357206,0.05697793331320885,0.023793522673561718,0.008880094348611195,0.038902925039784084,-0.0014996721037074945,-0.003656355368717884,0.0006158115030617527,-0.0010212249912888716,-0.0025468159127696984,0.00047410101030553203,-0.0012364066505092808,-0.0030395287112828127,0.0005669354774121831,-0.0008255367879518305,-0.0020841943648542693,0.000403017150271126
E0,with_odds/league_none,with_odds,league_none,553,0.5009041591320073,1.011897053214814,0.6059371927565804,0.6582278481012658,0.26585897296343153,0.24954792043399637,0.18866761261171314,0.01501017258784687,0.001959111151246007,0.027994971020537354,0.009601071350346158,0.00088870831161115,0.01848943852608251,0.0,0.0,0.0,0.0,0.0,0.0,1.046113658254022e-05,-0.00026438838009870127,0.00029303681494367834,5.123191540667982e-06,-0.00018657074117441608,0.00020258409091196135
E0,with_odds/league_ordinal,with_odds,league_ordinal,553,0.5009041591320073,1.0118865920782314,0.6059320695650398,0.6564195298372514,0.2657908257872017,0.24954792043399637,0.18867907050244048,0.01499971145126433,0.0019473660044657727,0.02805141557080549,0.00959594815880549,0.0009022157256747265,0.01844991180642541,-1.046113658254022e-05,-0.0002930368149436785,0.0002643883800987012,-5.123191540667982e-06,-0.0002025840909119614,0.00018657074117441606,0.0,0.0,0.0,0.0,0.0,0.0
E0,with_odds/league_onehot,with_odds,league_onehot,553,0.49909584086799275,1.0117911604868606,0.6058799319216045,0.6672694394213382,0.26621572268948424,0.24954792043399637,0.1887365757051066,0.01490427985989351,0.001965600021842395,0.027865755586937123,0.009543810515370232,0.000934419256349875,0.01841856411234875,-0.00010589272795336058,-0.0016122094562703415,0.0013333307443873451,-5.726083497592516e-05,-0.0010902033477421553,0.0009447484539043646,-9.543159137082036e-05,-0.0015370846462825106,0.0013092956585423557,-5.2137643435257175e-05,-0.0010569726123602296,0.0009114182413860154
E1,Odds,reference,odds,793,0.4703656998738966,1.0393938309354553,0.6263046187767424,0.5939470365699874,0.2660184700901318,0.25598991172761665,0.19146030429200794,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E1,base/league_none,base,league_none,793,0.43883984867591425,1.0637434372861059,0.64264694245379,0.4262295081967213,0.27152859878542757,0.25598991172761665,0.19213259801712532,0.024349606350650532,0.00991161569406196,0.03848216756981671,0.016342323677047577,0.00646288874972375,0.026392839594917335,0.0,0.0,0.0,0.0,0.0,0.0,-5.656326922576227e-05,-0.0006104572722548163,0.00047923993840722173,-5.013218649907447e-05,-0.00043637945182500024,0.0003382066557425094
E1,base/league_ordinal,base,league_ordinal,793,0.4401008827238335,1.0638000005553316,0.642697074640289,0.43631778058007564,0.2719638684916375,0.25598991172761665,0.1920907905134752,0.024406169619876295,0.009996782551876832,0.03880866195374424,0.01639245586354665,0.006435492775352827,0.02661071860706578,5.656326922576227e-05,-0.0004792399384072221,0.0006104572722548159,5.013218649907447e-05,-0.0003382066557425095,0.00043637945182499975,0.0,0.0,0.0,0.0,0.0,0.0
E1,base/league_onehot,base,league_onehot,793,0.4401008827238335,1.0634293433607283,0.6424000192549867,0.4514501891551072,0.27414801490202395,0.25598991172761665,0.1923591537382274,0.02403551242527291,0.009595999480525664,0.03860347166447738,0.016095400478244315,0.006003654260611471,0.026232841384553868,-0.00031409392537762315,-0.0019830720981356296,0.0013768956685665619,-0.00024692319880326163,-0.0013786084452751314,0.0008807441482814218,-0.0003706571946033854,-0.0018915020192604049,0.0012104857025536473,-0.0002970553853023361,-0.0013209032402766246,0.0007823564703738234
E1,with_odds/league_none,with_odds,league_none,793,0.4552332912988651,1.0496733565009924,0.6329336737569462,0.5472887767969735,0.2716217272305292,0.25598991172761665,0.19177201288202206,0.010279525565537018,0.00284142374715326,0.017513779150718747,0.00662905498020383,0.0014861803825466286,0.011481146862853632,0.0,0.0,0.0,0.0,0.0,0.0,-2.704048293566963e-05,-0.00022912813359497462,0.00018894751445913105,-2.5438407000866192e-06,-0.00013812842691139914,0.00013828118135089662
E1,with_odds/league_ordinal,with_odds,league_ordinal,793,0.45775535939470363,1.049700396983928,0.6329362175976463,0.544766708701135,0.27173096870244595,0.25598991172761665,0.19176591452755307,0.010306566048472687,0.0028314120881062165,0.017587378482053825,0.006631598820903917,0.0015179948121954363,0.01152025278203003,2.704048293566963e-05,-0.00018894751445913127,0.0002291281335949743,2.5438407000866192e-06,-0.00013828118135089662,0.0001381284269113991,0.0,0.0,0.0,0.0,0.0,0.0
