Scope,League,Variant,Bin,N,MeanPredictedX,ObservedXRate
overall,ALL,Odds,0.00-0.20,161,0.1715446891917763,0.19254658385093168
overall,ALL,Odds,0.20-0.25,622,0.23278235028890987,0.2508038585209003
overall,ALL,Odds,0.25-0.30,2069,0.2746837304338768,0.2556790720154664
overall,ALL,Odds,0.30+,126,0.3068691161466819,0.3333333333333333
overall,ALL,base/league_none,0.00-0.20,0,,
overall,ALL,base/league_none,0.20-0.25,315,0.2399578206831882,0.27936507936507937
overall,ALL,base/league_none,0.25-0.30,2424,0.27015452670852386,0.25041254125412543
overall,ALL,base/league_none,0.30+,239,0.30851261680034714,0.26359832635983266
overall,ALL,base/league_ordinal,0.00-0.20,0,,
overall,ALL,base/league_ordinal,0.20-0.25,271,0.23990298687915915,0.2693726937269373
overall,ALL,base/league_ordinal,0.25-0.30,2444,0.26957900000892804,0.2520458265139116
overall,ALL,base/league_ordinal,0.30+,263,0.3085849770596009,0.2623574144486692
overall,ALL,base/league_onehot,0.00-0.20,1,0.19526960688366465,0.0
overall,ALL,base/league_onehot,0.20-0.25,309,0.23989983484731625,0.255663430420712
overall,ALL,base/league_onehot,0.25-0.30,2324,0.2689354066592932,0.25301204819277107
overall,ALL,base/league_onehot,0.30+,344,0.3137548144444487,0.26453488372093026
overall,ALL,with_odds/league_none,0.00-0.20,0,,
overall,ALL,with_odds/league_none,0.20-0.25,322,0.23947435013854448,0.2484472049689441
overall,ALL,with_odds/league_none,0.25-0.30,2535,0.2720621839420564,0.2528599605522682
overall,ALL,with_odds/league_none,0.30+,121,0.30425425181056215,0.30578512396694213
overall,ALL,with_odds/league_ordinal,0.00-0.20,0,,
overall,ALL,with_odds/league_ordinal,0.20-0.25,321,0.23946116332661513,0.24299065420560748
overall,ALL,with_odds/league_ordinal,0.25-0.30,2540,0.2721098878581535,0.25393700787401574
overall,ALL,with_odds/league_ordinal,0.30+,117,0.30434872239059424,0.29914529914529914
overall,ALL,with_odds/league_onehot,0.00-0.20,0,,
overall,ALL,with_odds/league_onehot,0.20-0.25,317,0.2400176622823865,0.22082018927444794
overall,ALL,with_odds/league_onehot,0.25-0.30,2503,0.2716945310013551,0.2556931681981622
overall,ALL,with_odds/league_onehot,0.30+,158,0.305933564304593,0.3037974683544304
league,E0,Odds,0.00-0.20,93,0.16753223211899637,0.21505376344086022
league,E0,Odds,0.20-0.25,174,0.22986943420224576,0.2413793103448276
league,E0,Odds,0.25-0.30,281,0.2702114322507617,0.26334519572953735
league,E0,Odds,0.30+,5,0.30743939195058323,0.4
league,E0,base/league_none,0.00-0.20,0,,
league,E0,base/league_none,0.20-0.25,75,0.23779669977607484,0.32
league,E0,base/league_none,0.25-0.30,442,0.2686440128047392,0.24434389140271492
league,E0,base/league_none,0.30+,36,0.30622610041220355,0.16666666666666666
league,E0,base/league_ordinal,0.00-0.20,0,,
league,E0,base/league_ordinal,0.20-0.25,70,0.23829976314517767,0.3142857142857143
league,E0,base/league_ordinal,0.25-0.30,439,0.26815402181104814,0.2460136674259681
league,E0,base/league_ordinal,0.30+,44,0.30663684289452475,0.18181818181818182
league,E0,base/league_onehot,0.00-0.20,1,0.19526960688366465,0.0
league,E0,base/league_onehot,0.20-0.25,81,0.23920552822258212,0.30864197530864196
league,E0,base/league_onehot,0.25-0.30,413,0.26761294293594967,0.24939467312348668
league,E0,base/league_onehot,0.30+,58,0.31191800279417997,0.1724137931034483
league,E0,with_odds/league_none,0.00-0.20,0,,
league,E0,with_odds/league_none,0.20-0.25,102,0.23814112705906026,0.24509803921568626
league,E0,with_odds/league_none,0.25-0.30,433,0.2707799873487817,0.24942263279445728
league,E0,with_odds/league_none,0.30+,18,0.304549031485053,0.2777777777777778
league,E0,with_odds/league_ordinal,0.00-0.20,0,,
