League,Variant,N,Accuracy,LogLoss,Brier,X_precision,X_recall,Delta_LogLoss_vs_Odds,Delta_Brier_vs_Odds,Delta_LogLoss_CI95_L,Delta_LogLoss_CI95_U,Delta_Brier_CI95_L,Delta_Brier_CI95_U
E0,Model,553,0.5081374321880651,1.0339052878824202,0.6209551808677478,0.0,0.0,0.037018407255453134,0.02461905946151355,0.01680255608200821,0.05736095311619777,0.00994854706245656,0.039373547317733175
E0,Odds,553,0.5171790235081374,0.9968868806269671,0.5963361214062343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,Model+Odds,553,0.5009041591320073,1.0118865920782314,0.6059320695650398,0.0,0.0,0.01499971145126433,0.00959594815880549,0.0019531127117944633,0.0272090891122158,0.0006920771769177886,0.018216265616235197
E1,Model,793,0.4401008827238335,1.0638000005553316,0.642697074640289,0.0,0.0,0.024406169619876295,0.01639245586354665,0.009557514087977953,0.03824442129238046,0.0059389848264494996,0.02613173688468755
E1,Odds,793,0.4703656998738966,1.0393938309354553,0.6263046187767424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1,Model+Odds,793,0.45775535939470363,1.049700396983928,0.6329362175976463,0.0,0.0,0.010306566048472687,0.006631598820903917,0.002259317489978635,0.017964279175817013,0.0012110010874278269,0.011919583539050213
E2,Model,816,0.48161764705882354,1.0388684710391718,0.62440509698293,0.0,0.0,0.019365985950023923,0.01385857222818443,0.007211519842291375,0.03101835207533709,0.0053123703830313986,0.022179698947935186
E2,Odds,816,0.49754901960784315,1.0195024850891479,0.6105465247547456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2,Model+Odds,816,0.4889705882352941,1.0276526728629438,0.6158361524817113,0.0,0.0,0.008150187773795947,0.005289627726965729,0.00109043245506397,0.01470382423164244,0.0006427350907499685,0.010208990996600173
E3,Model,816,0.47549019607843135,1.0472996284556289,0.6301535519768272,0.0,0.0,0.011478780007024403,0.007428458308413988,0.0008909185536367424,0.022701451949134446,1.2698742423864183e-05,0.015251865860721373
E3,Odds,816,0.47671568627450983,1.0358208484486044,0.6227250936684132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,Model+Odds,816,0.4950980392156863,1.038849730054221,0.6241123002576718,0.0,0.0,0.00302888160561654,0.001387206589258616,-0.0036371676294687624,0.010306648463875578,-0.0033755401935159973,0.00611368835296283
