League,Variant,N,OddsWeight,ModelWeight,StreckMeasured,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U
E0,odds_only,553,1.0,0.0,False,0.5171790235081374,0.9968868806269671,0.5963361214062343,0.620253164556962,0.24058659775854319,0.24954792043399637,0.18747553152436483,0.0,0.0,0.0,0.0,0.0,0.0
E0,model_only,553,0.0,1.0,False,0.5063291139240507,1.0341685533356184,0.6211508690710849,0.49005424954792043,0.2669069543539596,0.24954792043399637,0.18881974586977499,0.03728167270865135,0.017207897034845092,0.05700965239406185,0.02481474766485059,0.01049172242910297,0.0389255518203174
E0,production_blend,553,0.5882352941176471,0.4117647058823529,False,0.5189873417721519,1.0046743798545317,0.6004033654792604,0.5189873417721519,0.25142439165077346,0.24954792043399637,0.18742447497197898,0.007787499227564609,-0.0005069055618735329,0.016032331817038694,0.004067244073026166,-0.0016784678980397705,0.009722849930180202
E1,odds_only,793,1.0,0.0,False,0.4703656998738966,1.0393938309354553,0.6263046187767424,0.5939470365699874,0.2660184700901318,0.25598991172761665,0.19146030429200794,0.0,0.0,0.0,0.0,0.0,0.0
E1,model_only,793,0.0,1.0,False,0.43883984867591425,1.0637434372861059,0.64264694245379,0.4262295081967213,0.27152859878542757,0.25598991172761665,0.19213259801712532,0.024349606350650532,0.009788544749267797,0.03824131788394593,0.016342323677047577,0.005962675043697832,0.025962214099169125
E1,production_blend,793,0.5882352941176471,0.4117647058823529,False,0.4514501891551072,1.0442716955788838,0.6291797052594175,0.4703656998738966,0.2682873466117242,0.25598991172761665,0.19147236195263048,0.004877864643428431,-0.001190993154338582,0.010649902576148756,0.0028750864826750933,-0.00135981114922738,0.00676740339815787
E2,odds_only,816,1.0,0.0,False,0.49754901960784315,1.0195024850891479,0.6105465247547456,0.5294117647058824,0.26498130965671823,0.24632352941176472,0.18488462224472751,0.0,0.0,0.0,0.0,0.0,0.0
E2,model_only,816,0.0,1.0,False,0.4840686274509804,1.0386814774011988,0.6242471149018486,0.45465686274509803,0.2707530662830169,0.24632352941176472,0.18612524660333649,0.01917899231205089,0.007467995209174077,0.031005046612927654,0.013700590147103009,0.005229377588655446,0.021925830747565964
E2,production_blend,816,0.5882352941176471,0.4117647058823529,False,0.49264705882352944,1.0237386298693951,0.6135634246394424,0.4632352941176471,0.2673579153263706,0.24632352941176472,0.18517745924625573,0.004236144780247253,-0.0006665077074080372,0.0090923565955655,0.0030168998846967776,-0.0005221803243961182,0.006395134375469953
E3,odds_only,816,1.0,0.0,False,0.47671568627450983,1.0358208484486044,0.6227250936684132,0.5661764705882353,0.268595195735196,0.2647058823529412,0.19418547649494497,0.0,0.0,0.0,0.0,0.0,0.0
E3,model_only,816,0.0,1.0,False,0.47549019607843135,1.0468752209375727,0.6298278786843275,0.4571078431372549,0.26999947915493094,0.2647058823529412,0.19370588194981914,0.011054372488968234,-3.146082149229609e-05,0.021844496900442788,0.007102785015914326,-0.00042573295700094047,0.0145347833643931
E3,production_blend,816,0.5882352941176471,0.4117647058823529,False,0.4889705882352941,1.0372740691072313,0.6233916833612408,0.4791666666666667,0.2691734300844986,0.2647058823529412,0.19379674964999558,0.0014532206586268526,-0.003151096315773588,0.005910179717333513,0.0006665896928276238,-0.00238800500203451,0.0037100884312748486
