Scope,League,Source,ModelWeight,Bin,N,MeanPredictedX,ObservedXRate
overall,ALL,odds_only,0.0,0.00-0.20,161,0.1715446891917763,0.19254658385093168
overall,ALL,odds_only,0.0,0.20-0.25,622,0.23278235028890987,0.2508038585209003
overall,ALL,odds_only,0.0,0.25-0.30,2069,0.2746837304338768,0.2556790720154664
overall,ALL,odds_only,0.0,0.30+,126,0.3068691161466819,0.3333333333333333
overall,ALL,model_only,1.0,0.00-0.20,0,,
overall,ALL,model_only,1.0,0.20-0.25,315,0.2399578206831882,0.27936507936507937
overall,ALL,model_only,1.0,0.25-0.30,2424,0.27015452670852386,0.25041254125412543
overall,ALL,model_only,1.0,0.30+,239,0.30851261680034714,0.26359832635983266
overall,ALL,production_blend,0.4117647058823529,0.00-0.20,45,0.18327706582576617,0.13333333333333333
overall,ALL,production_blend,0.4117647058823529,0.20-0.25,516,0.23503668725154805,0.2558139534883721
overall,ALL,production_blend,0.4117647058823529,0.25-0.30,2368,0.2724411257876993,0.25506756756756754
overall,ALL,production_blend,0.4117647058823529,0.30+,49,0.30473771126559196,0.32653061224489793
overall,ALL,sweep_w_0,0.0,0.00-0.20,161,0.1715446891917763,0.19254658385093168
overall,ALL,sweep_w_0,0.0,0.20-0.25,622,0.23278235028890987,0.2508038585209003
overall,ALL,sweep_w_0,0.0,0.25-0.30,2069,0.2746837304338768,0.2556790720154664
overall,ALL,sweep_w_0,0.0,0.30+,126,0.3068691161466819,0.3333333333333333
overall,ALL,sweep_w_production,0.4117647058823529,0.00-0.20,45,0.18327706582572598,0.13333333333333333
overall,ALL,sweep_w_production,0.4117647058823529,0.20-0.25,516,0.2350366872515343,0.2558139534883721
overall,ALL,sweep_w_production,0.4117647058823529,0.25-0.30,2368,0.2724411257876994,0.25506756756756754
overall,ALL,sweep_w_production,0.4117647058823529,0.30+,49,0.304737711265593,0.32653061224489793
overall,ALL,sweep_w_star,0.0,0.00-0.20,161,0.1715446891917763,0.19254658385093168
overall,ALL,sweep_w_star,0.0,0.20-0.25,622,0.23278235028890987,0.2508038585209003
overall,ALL,sweep_w_star,0.0,0.25-0.30,2069,0.2746837304338768,0.2556790720154664
overall,ALL,sweep_w_star,0.0,0.30+,126,0.3068691161466819,0.3333333333333333
league,E0,odds_only,0.0,0.00-0.20,93,0.16753223211899637,0.21505376344086022
league,E0,odds_only,0.0,0.20-0.25,174,0.22986943420224576,0.2413793103448276
league,E0,odds_only,0.0,0.25-0.30,281,0.2702114322507617,0.26334519572953735
league,E0,odds_only,0.0,0.30+,5,0.30743939195058323,0.4
league,E0,model_only,1.0,0.00-0.20,0,,
league,E0,model_only,1.0,0.20-0.25,75,0.23779669977607484,0.32
league,E0,model_only,1.0,0.25-0.30,442,0.2686440128047392,0.24434389140271492
league,E0,model_only,1.0,0.30+,36,0.30622610041220355,0.16666666666666666
league,E0,production_blend,0.4117647058823529,0.00-0.20,32,0.18259836757190012,0.15625
league,E0,production_blend,0.4117647058823529,0.20-0.25,183,0.2318464769101227,0.26229508196721313
league,E0,production_blend,0.4117647058823529,0.25-0.30,338,0.2685403418521434,0.2514792899408284
league,E0,production_blend,0.4117647058823529,0.30+,0,,
league,E0,sweep_w_0,0.0,0.00-0.20,93,0.16753223211899637,0.21505376344086022
league,E0,sweep_w_0,0.0,0.20-0.25,174,0.22986943420224576,0.2413793103448276
league,E0,sweep_w_0,0.0,0.25-0.30,281,0.2702114322507617,0.26334519572953735
league,E0,sweep_w_0,0.0,0.30+,5,0.30743939195058323,0.4
league,E0,sweep_w_production,0.4117647058823529,0.00-0.20,32,0.18259836757185888,0.15625
league,E0,sweep_w_production,0.4117647058823529,0.20-0.25,183,0.2318464769101057,0.26229508196721313
league,E0,sweep_w_production,0.4117647058823529,0.25-0.30,338,0.2685403418521413,0.2514792899408284
league,E0,sweep_w_production,0.4117647058823529,0.30+,0,,
league,E0,sweep_w_star,0.0,0.00-0.20,93,0.16753223211899637,0.21505376344086022
league,E0,sweep_w_star,0.0,0.20-0.25,174,0.22986943420224576,0.2413793103448276
league,E0,sweep_w_star,0.0,0.25-0.30,281,0.2702114322507617,0.26334519572953735
league,E0,sweep_w_star,0.0,0.30+,5,0.30743939195058323,0.4
league,E1,odds_only,0.0,0.00-0.20,39,0.17266285536583134,0.1282051282051282
league,E1,odds_only,0.0,0.20-0.25,135,0.2338603119829702,0.3037037037037037
league,E1,odds_only,0.0,0.25-0.30,566,0.2762570967734846,0.25265017667844525
league,E1,odds_only,0.0,0.30+,53,0.30728559491912993,0.2641509433962264
league,E1,model_only,1.0,0.00-0.20,0,,
league,E1,model_only,1.0,0.20-0.25,58,0.23893501534595116,0.27586206896551724
