fold,league,n_half_requested,n_half_effective,n_matches,gain_acc_top1,gain_acc_hg,gain_combined,gain_logloss,gain_brier,entropy_acc_top1,entropy_acc_hg,entropy_combined,entropy_logloss,entropy_brier,n_different_selections,gain_avg_gain,gain_avg_top2,gain_avg_entropy,entropy_avg_gain,entropy_avg_top2,entropy_avg_entropy
1,all,2,2,1154,0.4749,1.0,0.4757,1.0405,0.6254,0.4749,0.5,0.4757,1.0405,0.6254,4,0.3864,0.7751,0.9742,0.3372,0.7232,0.9915
1,all,4,4,1154,0.4749,1.0,0.4775,1.0405,0.6254,0.4749,0.75,0.4766,1.0405,0.6254,8,0.386,0.7767,0.9734,0.3509,0.7305,0.9903
1,all,6,6,1154,0.4749,1.0,0.4783,1.0405,0.6254,0.4749,0.5,0.4766,1.0405,0.6254,12,0.3856,0.7764,0.9735,0.3526,0.7333,0.9896
1,E0,2,2,225,0.5333,0.5,0.5378,1.0089,0.5987,0.5333,0.5,0.5378,1.0089,0.5987,4,0.3987,0.8018,0.959,0.3757,0.7726,0.9751
1,E0,4,4,225,0.5333,0.25,0.5378,1.0089,0.5987,0.5333,0.75,0.5378,1.0089,0.5987,8,0.3958,0.7991,0.9607,0.3786,0.7775,0.9726
1,E0,6,6,225,0.5333,0.5,0.5422,1.0089,0.5987,0.5333,0.8333,0.5378,1.0089,0.5987,10,0.3939,0.7961,0.9624,0.3757,0.7796,0.9713
1,E1,2,2,299,0.4716,0.5,0.4749,1.0427,0.6273,0.4716,0.5,0.4716,1.0427,0.6273,4,0.4027,0.8189,0.9466,0.3452,0.7358,0.9879
1,E1,4,4,299,0.4716,0.75,0.4749,1.0427,0.6273,0.4716,0.75,0.4716,1.0427,0.6273,8,0.3997,0.812,0.9517,0.3511,0.742,0.9864
1,E1,6,6,299,0.4716,0.6667,0.4783,1.0427,0.6273,0.4716,0.6667,0.4749,1.0427,0.6273,12,0.3974,0.8076,0.9547,0.3549,0.7456,0.9854
1,E2,2,2,317,0.4322,0.5,0.4353,1.0611,0.641,0.4322,0.5,0.4353,1.0611,0.641,4,0.3824,0.7782,0.9725,0.3575,0.7348,0.9898
1,E2,4,4,317,0.4322,0.75,0.4385,1.0611,0.641,0.4322,0.75,0.4385,1.0611,0.641,8,0.3805,0.7748,0.9738,0.3524,0.734,0.9895
1,E2,6,6,317,0.4322,0.8333,0.4416,1.0611,0.641,0.4322,0.6667,0.4416,1.0611,0.641,12,0.3794,0.7702,0.9761,0.3541,0.7353,0.9893
1,E3,2,2,313,0.4569,1.0,0.4633,1.0663,0.6457,0.4569,1.0,0.4601,1.0663,0.6457,4,0.3824,0.7695,0.9769,0.3422,0.7178,0.9933
1,E3,4,4,313,0.4569,0.75,0.4633,1.0663,0.6457,0.4569,1.0,0.4601,1.0663,0.6457,8,0.3817,0.7678,0.9777,0.3457,0.7209,0.9929
1,E3,6,6,313,0.4569,0.8333,0.4696,1.0663,0.6457,0.4569,1.0,0.4665,1.0663,0.6457,12,0.3811,0.7665,0.9783,0.3454,0.7228,0.9924
2,all,2,2,1155,0.4693,0.0,0.4693,1.0489,0.6312,0.4693,0.0,0.4693,1.0489,0.6312,4,0.3851,0.7708,0.9763,0.3726,0.7516,0.9844
2,all,4,4,1155,0.4693,0.25,0.4701,1.0489,0.6312,0.4693,0.25,0.4693,1.0489,0.6312,8,0.3835,0.7681,0.9775,0.3647,0.7519,0.9839
2,all,6,6,1155,0.4693,0.3333,0.471,1.0489,0.6312,0.4693,0.5,0.471,1.0489,0.6312,12,0.3829,0.7678,0.9777,0.3661,0.7533,0.9834
2,E0,2,2,211,0.5166,1.0,0.5213,1.0376,0.623,0.5166,0.5,0.5166,1.0376,0.623,2,0.3826,0.7737,0.9749,0.3805,0.7719,0.9757
2,E0,4,4,211,0.5166,0.5,0.5213,1.0376,0.623,0.5166,0.75,0.5166,1.0376,0.623,4,0.3804,0.7731,0.9751,0.3773,0.772,0.9755
2,E0,6,6,211,0.5166,0.5,0.5213,1.0376,0.623,0.5166,0.5,0.5166,1.0376,0.623,4,0.3792,0.7734,0.9749,0.377,0.7723,0.9754
2,E1,2,2,333,0.4264,0.5,0.4294,1.0626,0.6402,0.4264,0.0,0.4264,1.0626,0.6402,4,0.3837,0.7701,0.9766,0.3307,0.685,0.9989
2,E1,4,4,333,0.4264,0.75,0.4294,1.0626,0.6402,0.4264,0.25,0.4294,1.0626,0.6402,8,0.3825,0.7767,0.9726,0.3346,0.6904,0.9985
2,E1,6,6,333,0.4264,0.8333,0.4294,1.0626,0.6402,0.4264,0.3333,0.4294,1.0626,0.6402,12,0.3805,0.7779,0.9721,0.3328,0.6935,0.9978
2,E2,2,2,308,0.4513,1.0,0.4578,1.0567,0.6367,0.4513,1.0,0.4545,1.0567,0.6367,4,0.3779,0.7582,0.9818,0.3745,0.7566,0.9825
